"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","17.575mm","1.6mm","17.575mm","1.6mm","18.45mm","1.6mm","T","180","C",
"C2","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","28.575mm","1.6mm","28.575mm","1.6mm","29.45mm","1.6mm","T","180","C",
"C3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","31.425mm","48.4mm","31.425mm","48.4mm","30.55mm","48.4mm","T","0","C",
"C4","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","42.425mm","48.4mm","42.425mm","48.4mm","41.55mm","48.4mm","T","0","C",
"G***","Two-pronged-Approach-Silks","17.9mm","48.4mm","17.9mm","48.4mm","17.9mm","48.4mm","T","0","LOGO",
"G***","REV_C_Silks_Small","48.3mm","2.8mm","48.3mm","2.8mm","48.3mm","2.8mm","T","0","LOGO",
"R1","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","28.925mm","27.5mm","28.925mm","27.5mm","29.8mm","27.5mm","T","180","20K",
"R10","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","41.0mm","34.025mm","41.0mm","34.025mm","41.0mm","34.9mm","T","270","20K",
"R11","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","11.918718mm","40.681282mm","11.918718mm","40.681282mm","11.3mm","41.3mm","T","315","20K",
"R12","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","34.018718mm","30.981282mm","34.018718mm","30.981282mm","33.4mm","31.6mm","T","315","20K",
"R13","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","6.3125mm","37.0mm","6.3125mm","37.0mm","4.825mm","37.0mm","T","0","20K",
"R14","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","53.7mm","37.0mm","53.7mm","37.0mm","55.1875mm","37.0mm","T","180","20K",
"R15","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","9.075mm","34.5mm","9.075mm","34.5mm","8.2mm","34.5mm","T","0","20K",
"R16","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","31.075mm","22.5mm","31.075mm","22.5mm","30.2mm","22.5mm","T","0","20K",
"R17","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","9.075mm","30.0mm","9.075mm","30.0mm","8.2mm","30.0mm","T","0","20K",
"R18","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","31.1mm","18.0mm","31.1mm","18.0mm","30.225mm","18.0mm","T","0","20K",
"R19","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","9.075mm","25.5mm","9.075mm","25.5mm","8.2mm","25.5mm","T","0","20K",
"R2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","50.925mm","15.5mm","50.925mm","15.5mm","51.8mm","15.5mm","T","180","20K",
"R20","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","31.075mm","13.5mm","31.075mm","13.5mm","30.2mm","13.5mm","T","0","20K",
"R21","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","11.918718mm","19.318718mm","11.918718mm","19.318718mm","11.3mm","18.7mm","T","45","20K",
"R22","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","34.018718mm","9.018718mm","34.018718mm","9.018718mm","33.4mm","8.4mm","T","45","20K",
"R23","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","19.0mm","15.975mm","19.0mm","15.975mm","19.0mm","15.1mm","T","90","20K",
"R24","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","41.0mm","5.975mm","41.0mm","5.975mm","41.0mm","5.1mm","T","90","20K",
"R3","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","28.925mm","32.0mm","28.925mm","32.0mm","29.8mm","32.0mm","T","180","20K",
"R4","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","50.925mm","20.0mm","50.925mm","20.0mm","51.8mm","20.0mm","T","180","20K",
"R5","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","28.925mm","36.5mm","28.925mm","36.5mm","29.8mm","36.5mm","T","180","20K",
"R6","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","50.925mm","24.5mm","50.925mm","24.5mm","51.8mm","24.5mm","T","180","20K",
"R7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","26.081282mm","40.7mm","26.081282mm","40.7mm","26.7mm","41.318718mm","T","225","20K",
"R8","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","47.981282mm","30.981282mm","47.981282mm","30.981282mm","48.6mm","31.6mm","T","225","20K",
"R9","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","19.0mm","44.025mm","19.0mm","44.025mm","19.0mm","44.9mm","T","270","20K",
"REF**","Symbol_Danger_CopperTop_Small","56.0mm","29.4mm","56.0mm","29.4mm","56.0mm","29.4mm","T","0","Symbol_Danger_CopperTop_Small",
"REF**","Symbol_Danger_CopperTop_Small","3.9mm","29.1mm","3.9mm","29.1mm","3.9mm","29.1mm","T","0","Symbol_Danger_CopperTop_Small",
"U1","SOP-16_4.55x10.3mm_P1.27mm","14.0mm","7.0mm","14.0mm","7.0mm","18.445mm","10.25mm","T","270","74HC595",
"U2","SOP-16_4.55x10.3mm_P1.27mm","25.0mm","7.0mm","25.0mm","7.0mm","29.445mm","10.25mm","T","270","74HC595",
"U3","SOP-16_4.55x10.3mm_P1.27mm","35.0mm","43.0mm","35.0mm","43.0mm","30.555mm","39.75mm","T","90","74HC595",
"U4","SOP-16_4.55x10.3mm_P1.27mm","46.0mm","43.0mm","46.0mm","43.0mm","41.555mm","39.75mm","T","90","74HC595",
"G***","FinalR-logo-Mask","48.2mm","48.0mm","48.2mm","48.0mm","48.2mm","48.0mm","B","180","LOGO",
"Q1","SOT-23","28.8mm","27.5mm","28.8mm","27.5mm","29.8mm","28.45mm","B","180","MMBTA42",
